DBA Name,Street Address,Yelp Name,Price Level,Rating,Review Count,Top Yelp Category,Is Closed,Yelp Address,Zipcode,Supervisor District,Neighborhood,Business Start Date,Business End Date,Location Start Date,Location End Date,Yelp ID
Lemongrass,2348 Polk St,Lemon Grass Thai Cuisine,$$,3.5,558,Thai,FALSE,2348 Polk St,94109.0,3.0,Russian Hill,1/1/03,3/31/16,1/1/03,3/31/16,N3N7-DCGQUPBe9v-duuWHQ
Lemongrass Thai Cuisine,2348 Polk St,Lemon Grass Thai Cuisine,$$,3.5,558,Thai,FALSE,2348 Polk St,94109.0,3.0,Russian Hill,1/1/03,3/31/16,2/3/04,3/31/16,N3N7-DCGQUPBe9v-duuWHQ
Lemongrass Thai Cuisine,2348 Polk St,Lemon Grass Thai Cuisine,$$,3.5,558,Thai,FALSE,2348 Polk St,94109.0,,,4/5/16,,4/5/16,,N3N7-DCGQUPBe9v-duuWHQ
Valley Tavern,4054 24th St,Valley Tavern,$$,4,305,Pubs,FALSE,4054 24th St,94114.0,8.0,Noe Valley,2/24/03,1/13/16,2/24/03,1/13/16,onkU0XY2m1i7LCR5O1g8VQ
Hergl School,1570 Greenwich St,Hergl School,No record in Yelp,5,1,No record in Yelp,FALSE,1570 Greenwich St,94123.0,2.0,Marina,2/8/79,10/1/16,2/8/79,10/1/16,foZhPlnywtUued2niihoyg
Big Joe's,717 Monterey Blvd,Big Joe's,$$,4,498,Breakfast & Brunch,FALSE,717 Monterey Blvd,94127.0,7.0,West of Twin Peaks,9/11/12,1/21/18,9/13/12,1/21/18,OdO-B4spWQQMgu58-WbozA
Oye Managua,3385 Mission St,Oye Managua,$$,3.5,268,Latin American,FALSE,3385 Mission St,94112.0,,,10/1/05,4/18/18,10/1/05,4/18/18,s4GvKQzi6eHEr-2F5z8o_A
Oye Managua,3385 Mission St,Oye Managua,$$,3.5,268,Latin American,FALSE,3385 Mission St,94110.0,9.0,Bernal Heights,4/18/18,,4/18/18,,s4GvKQzi6eHEr-2F5z8o_A
Nectar Wine Lounge,3330 Steiner St,Nectar Wine Lounge,$$,4,478,Wine Bars,TRUE,3330 Steiner St,94123.0,,,7/2/03,12/30/18,7/2/03,12/30/18,wr8AESmBkc7-nuQbg191QA
Youngs Restaurant,601 Kearny St,Young's Cafe,$,3.5,108,Chinese,TRUE,601 Kearny St,94108.0,3.0,Chinatown,10/10/03,5/1/19,10/10/03,5/1/19,lbhoHNWZVSQxPqkA2AgknQ
Boos Voni,5170 Mission St,Tortas Boos Voni,$,4,148,Mexican,FALSE,5170 Mission St,94112.0,11.0,Outer Mission,10/1/03,10/31/17,10/1/03,10/31/17,22v8sohi8qcFTXxbvag3Zg
The Sausage Factory,517 Castro St,The Sausage Factory,$$,3.5,576,Italian,FALSE,517 Castro St,94114.0,8.0,Castro/Upper Market,11/1/03,2/14/18,11/1/03,2/14/18,9i5LZqFVbTRq215ypJYzYQ
The Sausage Factory,517 Castro St,The Sausage Factory,$$,3.5,576,Italian,FALSE,517 Castro St,94114.0,,,1/11/18,,1/11/18,,9i5LZqFVbTRq215ypJYzYQ
Bacchus Kirk,925 Bush St,Bacchus Kirk,$$,4,235,Dive Bars,TRUE,925 Bush St,94109.0,,,11/13/03,12/1/18,11/13/03,12/1/18,HshqZ9tsDjFUPBmRCJmjjQ
Maxfield's House Of Caffeine,398 Dolores St,Maxfield's House of Caffeine,$,3,275,Coffee & Tea,FALSE,398 Dolores St,94110.0,8.0,Castro/Upper Market,2/1/08,3/31/17,2/1/08,3/31/17,pq3l9iZBT1P_fv4H4S01wg
Maxfield's House Of Caffeine,398 Dolores St,Maxfield's House of Caffeine,$,3,275,Coffee & Tea,FALSE,398 Dolores St,94110.0,,,4/1/17,,4/1/17,,pq3l9iZBT1P_fv4H4S01wg
Bello Coffee & Tea,2885 Diamond St,Bello Coffee & Tea,$,4,357,Coffee & Tea,FALSE,2885 Diamond St,94131.0,8.0,Glen Park,2/6/04,5/31/18,11/1/08,5/31/18,Evr0y8fwFEOqXBf7cNW8zg
Koo,408 Irving St,Koo,$$$,4,1100,Japanese,FALSE,408 Irving St,94122.0,,,7/15/04,6/16/15,7/15/04,6/16/15,4GAsfSjaB1XewzS3TKOtTg
Koo,408 Irving St,Koo,$$$,4,1100,Japanese,FALSE,408 Irving St,94122.0,5.0,Inner Sunset,7/10/15,,7/10/15,,4GAsfSjaB1XewzS3TKOtTg
Jenny & Jesse Restaurante,3322 Mission St,El Paisa Restaurante-Jenny & Jesse,$$,4,68,Latin American,FALSE,3322 Mission St,94110.0,9.0,Bernal Heights,10/1/04,6/3/19,10/1/04,6/3/19,HGANiSkXUTEEX50Xhtz_5Q
El Paisa Restaurant,3322 Mission St,El Paisa Restaurante-Jenny & Jesse,$$,4,68,Latin American,FALSE,3322 Mission St,94110.0,9.0,Bernal Heights,10/1/04,6/3/19,5/4/10,6/3/19,HGANiSkXUTEEX50Xhtz_5Q
Brickhouse Cafe,426 Brannan St,Brickhouse Cafe,$$,3.5,1162,American (Traditional),FALSE,426 Brannan St,94107.0,6.0,South of Market,4/17/06,9/22/17,4/16/06,9/22/17,HCTOtXfbGDTcYsnE_gl35Q
Asa Sushi,2365 Chestnut St,Wago sushi,$$,4,77,Sushi Bars,FALSE,2365 Chestnut St,94132.0,2.0,Marina,10/15/04,12/20/17,10/15/04,12/20/17,3Reec-_JZaemqsI0MlW_SQ
Creative Sushi Catering,800 Van Ness Ave,Creative Sushi Catering,$$,4.5,27,Caterers,FALSE,800 Van Ness Ave,94109.0,,,4/7/05,12/21/17,5/1/06,12/21/17,57MTH5bcQWs0uKtb8pgIyg
Creative Sushi Catering,800 Van Ness Ave,Creative Sushi Catering,$$,4.5,27,Caterers,FALSE,800 Van Ness Ave,94109.0,6.0,Tenderloin,12/21/17,,1/30/18,,57MTH5bcQWs0uKtb8pgIyg
Haight & Cole Liquors,1699 Haight St,Haight & Cole Liquors,$,4.5,13,"Beer, Wine & Spirits",FALSE,1699 Haight St,94117.0,5.0,Haight Ashbury,7/1/05,10/3/17,7/1/05,3/28/18,zAX8hd4IUt6T2DHb08YAtA
Nara Sushi,1515 Polk St,Nara,$$,4.5,221,Japanese,FALSE,1515 Polk St,94109.0,3.0,Nob Hill,7/19/05,4/15/17,7/19/05,4/15/17,YZrl7W2dewBb-T7e-BxAkQ
Nara Sushi,1515 Polk St,Nara,$$,4.5,221,Japanese,FALSE,1515 Polk St,94109.0,,,4/16/17,,4/16/17,,YZrl7W2dewBb-T7e-BxAkQ
Garcon,1101 Valencia St,Garçon,$$$,3.5,804,French,TRUE,1101 Valencia St,94110.0,9.0,Mission,8/1/05,3/31/19,8/2/05,3/31/19,f7GbmIcePXbV7ZtQv4_JNg
Sidewalk Juice Bar,3287 21st St,Sidewalk Juice,$,4,312,Juice Bars & Smoothies,FALSE,3287 21st St,94110.0,9.0,Mission,10/11/05,12/31/16,10/11/05,12/31/15,qSDs73iJwu365YirqVFx_g
Thai Cafe,3407 Geary Blvd,Thai Cafe,$$,4,232,Thai,FALSE,3407 Geary Blvd,94118.0,1.0,Lone Mountain/USF,12/1/05,6/20/17,12/1/05,6/20/17,FgW-khP50md23vH37MUiwQ
Thai Cafe,3407 Geary Blvd,Thai Cafe,$$,4,232,Thai,FALSE,3407 Geary Blvd,94118.0,,,6/20/17,,6/20/17,,FgW-khP50md23vH37MUiwQ
The Elite Cafe,2049 Fillmore St,The Elite Cafe,$$,3.5,1247,Cajun/Creole,TRUE,2049 Fillmore St,94115.0,,,12/19/05,3/27/16,12/19/05,3/27/16,NhvqEIpcLbwFhW1cEVSzoA
The Elite Cafe,2049 Fillmore St,The Elite Cafe,$$,3.5,1247,Cajun/Creole,TRUE,2049 Fillmore St,94115.0,,,4/4/16,4/23/19,4/4/16,4/23/19,NhvqEIpcLbwFhW1cEVSzoA
Zen Yai Thai Restaurant,771 Ellis St,Zen Yai Thai Restaurant,$,4,694,Thai,FALSE,771 Ellis St,94121.0,6.0,Tenderloin,1/9/06,12/31/17,1/9/06,12/31/17,xaYfmUNTchH56sdxjHulfg
Zen Yai Thai Restaurant,771 Ellis St,Zen Yai Thai Restaurant,$,4,694,Thai,FALSE,771 Ellis St,94109.0,,,1/2/18,,1/2/18,,xaYfmUNTchH56sdxjHulfg
Memphis Minnie's Bbq Joint,576 Haight St,Memphis Minnie's,$$,3.5,1574,Barbeque,FALSE,576 Haight St,94117.0,,,5/16/06,5/1/18,5/16/06,5/1/18,VlNE3m59v836-t3V4ZaOWQ
Memphis Minnie's Bbq Joint,576 Haight St,Memphis Minnie's,$$,3.5,1574,Barbeque,FALSE,576 Haight St,94117.0,5.0,Hayes Valley,5/1/18,,5/1/18,,VlNE3m59v836-t3V4ZaOWQ
Memphis Minnie's Bbq Joint,576 Haight St,Memphis Minnie's,$$,3.5,1574,Barbeque,FALSE,576 Haight St,94117.0,,,5/1/18,5/1/18,5/1/18,5/1/18,VlNE3m59v836-t3V4ZaOWQ
Morty's Delicatessen,280 Golden Gate Ave,Morty's Delicatessen,$,4,519,Sandwiches,FALSE,280 Golden Gate Ave,94102.0,,,6/15/06,12/31/15,6/15/06,12/31/15,KRO4PzfmbRgCu1Ayt1LE1g
Morty's Delicatessen,280 Golden Gate Ave,Morty's Delicatessen,$,4,519,Sandwiches,FALSE,280 Golden Gate Ave,94102.0,6.0,Tenderloin,3/1/16,,3/1/16,,KRO4PzfmbRgCu1Ayt1LE1g
Alembic,1725 Haight St,The Alembic,$$,4,1674,Bars,FALSE,1725 Haight St,94117.0,5.0,Haight Ashbury,5/12/06,4/1/18,5/12/06,4/1/18,f8fYPWuRB4o225YjPEjq8w
Alembic Bar,1725 Haight St,The Alembic,$$,4,1674,Bars,FALSE,1725 Haight St,94117.0,5.0,Haight Ashbury,5/12/06,4/1/18,9/7/11,4/1/18,f8fYPWuRB4o225YjPEjq8w
The Alembic,1725 Haight St,The Alembic,$$,4,1674,Bars,FALSE,1725 Haight St,94117.0,5.0,Haight Ashbury,5/12/06,4/1/18,9/7/11,4/1/18,f8fYPWuRB4o225YjPEjq8w
Genki Ramen,3944 Geary Blvd,Genki Ramen,$$,3.5,1429,Tapas/Small Plates,TRUE,3944 Geary Blvd,94118.0,1.0,Inner Richmond,7/17/06,12/31/18,7/13/11,12/31/18,Ml0zISgWDnt1hDWorSMNiw
