DBA Name,Street Address,Yelp Name,Price Level,Rating,Review Count,Top Yelp Category,Is Closed,Yelp Address,Zipcode,Neighborhood
New Nagano Sushi Restaurant,3727 Geary Blvd,Toyama Sushi,$$,4,76,Japanese,FALSE,3727 Geary Blvd,94118,
Dat Spot,1453 18th St,Mac Daddy,$$,4,533,American (Traditional),FALSE,1453 18th St,94107,Potrero Hill
Ovok,2295 Market St,The Castro Republic,$$,4,299,Latin American,FALSE,2295 Market St,94114,Castro/Upper Market
Irving Subs & Stuff,1298 12th Ave,Irving Subs,$,4.5,288,Sandwiches,FALSE,1298 12th Ave,94122,
Maysoon's Pizza,829 Geary St,Maysoons Pizza,$,3.5,140,Pizza,TRUE,829 Geary St,94109,
Tamarind Hall,1268 Grant Ave,Tamarind Hall,$$,4,417,Thai,TRUE,1268 Grant Ave,94133,
Yo Soy Cafe Guatemalteco,4794 Mission St,Yo Soy Café Guatemalteco,$,4.5,76,Cafes,FALSE,4794 Mission St,94112,Outer Mission
Tara Indian Cuisine,2217 Market St,Tara Indian Cuisine,$$,4,342,Indian,FALSE,2217 Market St,94114,Castro/Upper Market
On Time Cafe,577 Geary St,On Time Cafe,$,4,10,Coffee & Tea,TRUE,577 Geary St,94102,
Two Sons' Sandwiches,2249 17th St,Two Sons' Sandwiches,$,4.5,214,Sandwiches,FALSE,2249 17th St,94103,
Conching's Kusina,4994 Mission St,Conching's Kusina,No record in Yelp,4,11,Filipino,TRUE,4994 Mission St,94112,
Ambrosia Bakery,2605 Ocean Ave,Ambrosia Bakery,$,4,532,Bakeries,FALSE,2605 Ocean Ave,94132,
Pak Nam Thai Cuisine,655 Larkin St,Tender,$$,4.5,66,Japanese Curry,FALSE,655 Larkin St,94109,
Cream,3251 20th Ave,CREAM,$,3,83,Ice Cream & Frozen Yogurt,FALSE,3251 20th Ave,94103,
Chennai Kings,418 Beach St,Chennai Kings,$$,3,171,Indian,FALSE,418 Beach St,94133,North Beach
Cultivar,2379 Chestnut St,Cultivar San Francisco,$$,4.5,124,American (New),FALSE,2379 Chestnut St,94123,
Coffee Bar-Montgomery,101 Montgomery St,Coffee Bar,$$,4,301,Coffee & Tea,FALSE,101 Montgomery St,94104,Financial District/South Beach
Mac Daddy,1453 18th St,Mac Daddy,$$,4,533,American (Traditional),FALSE,1453 18th St,94107,Potrero Hill
Stop-N-Wrap Cafe,1217 Geneva Ave,Stop N Wrap,$,4,87,American (New),FALSE,1217 Geneva Ave,94112,
Hanlin Tea Restaurant,801 Kearny St,Hanlin Tea Restaurant,$$,4,418,Taiwanese,TRUE,801 Kearny St,94108,
Foothill Market,3004 San Bruno Ave,Foothill Market,$,4,10,Grocery,FALSE,3004 San Bruno Ave,94134,
Tine Foods,293 Bayshore Blvd,Tine Foods,No record in Yelp,5,50,Caterers,TRUE,293 Bayshore Blvd,94124,
Spice Affairs,1028 Market St,Spice Affairs Infused,$$,2,17,Indian,FALSE,1028 Market St,94102,
Hawker Eats,1650 Balboa St,Kaiju Cooks,$$,4.5,93,Tapas/Small Plates,FALSE,1650 Balboa St,94121,Outer Richmond
L'ottavo Ristorante,692 Sutter St,L'Ottavo Ristorante,$$,3.5,245,Italian,FALSE,692 Sutter St,94102,
Fang Yuan Restaurant,31 Cambon Dr,Fang Yuan Kitchen,$$,2.5,55,Chinese,FALSE,31 Cambon Dr,94132,
Dancing Bull,4217 Geary Blvd,Dancing Bull,$$,4,229,Korean,TRUE,4217 Geary Blvd,94118,
Little Nepal Restaurant,925 Cortland Ave,Little Nepal,$$,4,445,Himalayan/Nepalese,FALSE,925 Cortland Ave,94110,Bernal Heights
Katani Pizza,2077 Hayes St,Hayes Pizza,$$,4.5,169,Pizza,FALSE,2077 Hayes St,94117,
Tahini,2859 Mission St,Tahini,$$,4.5,240,Middle Eastern,TRUE,2859 Mission St,94110,Mission
Coletta Gelato,685 Harrison St,Coletta Gelato,$,5,369,Gelato,TRUE,685 Harrison St,94107,Financial District/South Beach
Peaches Patties,331 Cortland Ave,Peaches Patties Jamaican Kitchen,$$,4,43,Caribbean,FALSE,331 Cortland Ave,94110,
Chapter 2 Coffee,411 Sansome St,Chapter 2 Coffee,$,4.5,45,Coffee & Tea,TRUE,411 Sansome St,94111,
Abc Cafe,2500 Noriega St,ABC Tea Kee Cafe,No record in Yelp,2,107,Chinese,FALSE,2500 Noriega St,94122,
Chez Marius,4063 24th St,Chez Marius,$$$,4,102,French,TRUE,4063 24th St,94114,
On Dogdog,2142 Irving St,On Dog Dog,$,4.5,42,Hot Dogs,TRUE,2142 Irving St,94122,
Spreadz,221 Main St,Spread'z,$,4,33,Sandwiches,TRUE,221 Main St,94105,
St. Regis Lobby Lounge,125 3rd St,St. Regis Hotel Lobby Bar,$$$,4,157,Bars,FALSE,125 3rd St,94103,
Coco's Ramen,3319 Mission St,Coco's Ramen,$$,4,492,Ramen,FALSE,3319 Mission St,94110,Bernal Heights
Overtime,4134 Geary Blvd,Overtime Sports Bar & Restaurant,$$,4,146,Sports Bars,TRUE,4134 Geary Blvd,94118,
Sf Hilton Employee Cafe,333 O'farrell St,Hilton San Francisco Union Square,$$$,3,1275,Hotels,FALSE,333 O'farrell St,94111,
Ichi Sushi,3369 Mission St,ICHI Sushi,$$$,3.5,395,Japanese,FALSE,3369 Mission St,94110,
